,id,song,album,singers,genres,popularity,decade,thumbnail,singers_list,genres_list
4580,4Tw2N3wdvJPGEU7JqMxFfE,Take Me Home Tonight,The Best Of Eddie Money,['Eddie Money'],"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'pop rock', 'rock', 'soft rock']",59,19,https://i.scdn.co/image/ab6761610000e5eb59808090fb17e636132b0d2a,['Eddie Money'],"['album rock', ' classic rock', ' country rock', ' folk rock', ' hard rock', ' mellow gold', ' pop rock', ' rock', ' soft rock']"
4581,32vWCbZh0xZ4o9gkz4PsEU,9 to 5,9 To 5 And Odd Jobs,['Dolly Parton'],"['classic country pop', 'country', 'country dawn']",70,19,https://i.scdn.co/image/ab6761610000e5eb20ee5dd7929b2eb0b8886cac,['Dolly Parton'],"['classic country pop', ' country', ' country dawn']"
4582,3xs0LEzcPXtgNfMNcHzLIP,Somebody's Watching Me ,Scream,['Rockwell'],[],57,20,https://i.scdn.co/image/ab67616d0000b27357de8cb9bbbe22a9e71c8af7,['Rockwell'],['']
4583,0kObWap02DEg9EAJ3PBxzf,Nothing's Gonna Stop Us Now,No Protection,['Starship'],"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']",63,19,https://i.scdn.co/image/db74da1373e8962671878aa692ce010e7dd4816a,['Starship'],"['album rock', ' mellow gold', ' new romantic', ' new wave', ' new wave pop', ' soft rock']"
4584,6XpaIBNiVzIetEPCWDvAFP,How Will I Know,I Will Always Love You: The Best Of Whitney Houston,['Whitney Houston'],"['dance pop', 'pop', 'urban contemporary']",75,20,https://i.scdn.co/image/ab6761610000e5ebcd9f60ab57585bf3b77ecc51,['Whitney Houston'],"['dance pop', ' pop', ' urban contemporary']"
4585,6tbjWDEIzxoDsBA1FuhfPW,Material Girl,Celebration ,['Madonna'],"['dance pop', 'pop']",77,20,https://i.scdn.co/image/ab6761610000e5ebcfadb1f83cc25a86437b9698,['Madonna'],"['dance pop', ' pop']"
4586,3daM7asS0gCFvyLemNx2EE,Talking In Your Sleep,In Heat,['The Romantics'],"['album rock', 'classic rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'power pop', 'soft rock', 'synthpop']",55,19,https://i.scdn.co/image/ab6761610000e5ebb39679d47a3857df9ad4a750,['The Romantics'],"['album rock', ' classic rock', ' mellow gold', ' new romantic', ' new wave', ' new wave pop', ' power pop', ' soft rock', ' synthpop']"
4587,2CLVPk9FcywjClBcTvWPkT,Working for the Weekend,We Are The '80s,['Loverboy'],"['album rock', 'classic canadian rock', 'classic rock', 'glam metal', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock']",55,20,https://i.scdn.co/image/ab6761610000e5eb02a7fb52455eea92035311dc,['Loverboy'],"['album rock', ' classic canadian rock', ' classic rock', ' glam metal', ' hard rock', ' heartland rock', ' mellow gold', ' new wave pop', ' rock', ' soft rock']"
4588,7nwUJBm0HE4ZxD3f5cy5ok,Freeway of Love ,Knew You Were Waiting: The Best Of Aretha Franklin 1980,['Aretha Franklin'],"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",69,20,https://i.scdn.co/image/ab6761610000e5ebf12270128127ba170f90097d,['Aretha Franklin'],"['classic soul', ' jazz blues', ' memphis soul', ' soul', ' southern soul']"
4589,3RGLhK1IP9jnYFH4BRFJBS,Rock the Casbah ,Combat Rock ,['The Clash'],"['classic rock', 'permanent wave', 'punk', 'rock']",68,19,https://i.scdn.co/image/ab470b275daa38351810a1eb91d107ebdb821302,['The Clash'],"['classic rock', ' permanent wave', ' punk', ' rock']"
4590,5lpH0xAS4fVfLkACg9DAuM,Last Christmas,Christmas Hits,['Wham!'],"['disco', 'europop', 'new romantic', 'new wave', 'new wave pop', 'soft rock']",65,20,https://i.scdn.co/image/028bf41acbd7858a4a8acf688a392d4ee9e369ef,['Wham!'],"['disco', ' europop', ' new romantic', ' new wave', ' new wave pop', ' soft rock']"
4591,0JDkhL4rjiPNEp92jAgJnS,You Got It,The Essential Roy Orbison,['Roy Orbison'],"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly']",64,20,https://i.scdn.co/image/ab6761610000e5eb63c7956d7de45418d7fe6b25,['Roy Orbison'],"['adult standards', ' brill building pop', ' bubblegum pop', ' folk rock', ' mellow gold', ' rock-and-roll', ' rockabilly']"
4592,2aS6jYh7ysTL1ZUsHneNgM,Take My Breath Away ,Top Gun ,['Berlin'],"['new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",58,19,https://i.scdn.co/image/ab6761610000e5eb1b3809a7a427192110fd53ee,['Berlin'],"['new romantic', ' new wave', ' new wave pop', ' soft rock', ' synthpop']"
4593,51l0uqRxGaczYr4271pVIC,Walk Like an Egyptian,The Essential Bangles,['The Bangles'],"['album rock', 'disco', 'jangle pop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'paisley underground', 'pop rock', 'rock', 'soft rock', 'synthpop']",61,20,https://i.scdn.co/image/ab6761610000e5ebff0fb8cdea3f4b4ba33e8b08,['The Bangles'],"['album rock', ' disco', ' jangle pop', ' mellow gold', ' new romantic', ' new wave', ' new wave pop', ' paisley underground', ' pop rock', ' rock', ' soft rock', ' synthpop']"
4594,3CQIn7N5CuRDP8wEI7FiDA,Walk This Way ,Raising Hell,"['Run–D.M.C.', 'Aerosmith']","['east coast hip hop', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'queens hip hop', 'rap']",61,19,https://i.scdn.co/image/1bf54468fa9c772af8f514a20a99631fd35b2dbc,"['Run–DMC', ' Aerosmith']","['east coast hip hop', ' golden age hip hop', ' hardcore hip hop', ' hip hop', ' old school hip hop', ' queens hip hop', ' rap']"
4595,6zFYqv1mOsgBRQbae3JJ9e,It's Still Rock and Roll to Me,The Essential Billy Joel,['Billy Joel'],"['classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",76,20,https://i.scdn.co/image/ab6761610000e5ebc152fc4fed805e8a82ed950b,['Billy Joel'],"['classic rock', ' folk rock', ' mellow gold', ' piano rock', ' rock', ' singer-songwriter', ' soft rock']"
4596,72KyoXzp0NOQij6OcmZUxk,Beds Are Burning ,20000 Watt RSL ,['Midnight Oil'],"['australian rock', 'rock']",59,19,https://i.scdn.co/image/ab6761610000e5eb250d8955d025460671be2609,['Midnight Oil'],"['australian rock', ' rock']"
4597,7A9yZMTrFZcgEWAX2kBfK6,The Power Of Love,Greatest Hits: Huey Lewis And The News,['Huey Lewis & The News'],"['album rock', 'classic rock', 'mellow gold', 'new wave pop', 'pop rock', 'rock', 'soft rock']",62,20,https://i.scdn.co/image/ab6761610000e5eb8dfb95eb4902b28206963614,['Huey Lewis & The News'],"['album rock', ' classic rock', ' mellow gold', ' new wave pop', ' pop rock', ' rock', ' soft rock']"
4598,3eqjTLE0HfPfh78zjh6TqT,I'm On Fire,Born In The U.S.A.,['Bruce Springsteen'],"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'soft rock']",74,19,https://i.scdn.co/image/ab6761610000e5ebd0cb49906c4f8080a5813d95,['Bruce Springsteen'],"['classic rock', ' heartland rock', ' mellow gold', ' permanent wave', ' rock', ' singer-songwriter', ' soft rock']"
4599,52K4ArhA4OgMO7AsyEgqCT,I Want Candy,The Best Of Bow Wow Wow,['Bow Wow Wow'],"['new romantic', 'new wave', 'new wave pop']",40,19,https://i.scdn.co/image/d4578922aaec5c1ee0282d523143f1561fe26566,['Bow Wow Wow'],"['new romantic', ' new wave', ' new wave pop']"
4600,5xQKoGD7Ql92fWd1uWwKkf,Oh Sherrie,Greatest Hits + Five Unreleased,['Steve Perry'],"['album rock', 'mellow gold', 'soft rock', 'yacht rock']",52,19,https://i.scdn.co/image/ab6761610000e5eb74b5ad3c74225ab1c7b31665,['Steve Perry'],"['album rock', ' mellow gold', ' soft rock', ' yacht rock']"
