,id,song,tags,thumbnail
54,4Q72AebP3Suxs5MQ8ocDl5,main kaise kahoon,"main kaise kahoon,reet talwar,,20,39",https://i.scdn.co/image/ab6761610000e5ebbfb0e660d8d3774d5bfd17d6
55,5YewttB9YNwpp5u3SGrRER,tere bin jeena kya,"tere bin jeena kya,m. m. kreem,,20,31",https://i.scdn.co/image/ab67616d0000b2737840b2af41326ed0cc61e89d
56,74OaRjmyh0XyRZsQQQ5l7c,the fall,"the fall ,jasleen royal,desi pop, filmi, indian singer-songwriter, modern bollywood,20,66",https://i.scdn.co/image/ab6761610000e5eb972068030ad4c0290c669f5b
57,5wJ1H6ud777odtZl5gG507,tere bin jeena kya,"tere bin jeena kya ,vishal mishra, rupali jagga,desi pop, modern bollywood,20,66",https://i.scdn.co/image/ab6761610000e5eb6403561cc5a2dcf800cc814a
58,7mJ4nj92W37kxFUmTZXpbv,koi aur hai,"koi aur hai,raman romana,,20,30",https://i.scdn.co/image/ab6761610000e5ebce7f8e481d6a4114f9acf97f
59,2LgKrgRJcbJlt14i1LTzDU,tera rahoon,"tera rahoon,amit mishra,desi pop, filmi, modern bollywood,20,54",https://i.scdn.co/image/ab6761610000e5ebf1d5222e64aed9da230fd501
60,1UAzmnFgjizIDvtHvnCdEq,mann basiya,"mann basiya,stebin ben, samira koppikar,desi pop, modern bollywood,20,63",https://i.scdn.co/image/ab6761610000e5eb365ac49b19983beffdd7dcff
61,1tqysapcCh1lWEAc9dIFpa,phir se zara,"attack ,jubin nautiyal, shashwat sachdev,desi pop, filmi, hare krishna, modern bollywood,20,74",https://i.scdn.co/image/ab6761610000e5eb1a9d9cfc59b01338c0786953
62,3pQ4aA7dkolyjUAMrVScgh,ye ishq na ho,"radhe shyam,manan bhardwaj, harjot kaur, kumaar,desi pop, modern bollywood,20,62",https://i.scdn.co/image/ab6761610000e5eb463dff1c039b6ee18c327606
63,1OPqAyxsQc8mcRmoNBAnVk,candy,"candy ,dhvani bhanushali, yuvan shankar raja,desi pop, modern bollywood,20,67",https://i.scdn.co/image/ab6761610000e5eb163a20ead4e7e7cb08df8567
64,28g9DTPD5ZCC8sC9XI1dTs,tu na aaya,"tu na aaya,rahi, nikhita gandhi,indian folk,20,28",https://i.scdn.co/image/ab6761610000e5eb7ca4198db668cd0d1eda59b8
65,1UAzmnFgjizIDvtHvnCdEq,ek tu hi toh hai,"ek tu hi toh hai,stebin ben,desi pop, modern bollywood,20,63",https://i.scdn.co/image/ab6761610000e5eb365ac49b19983beffdd7dcff
66,3pHc4pzMYKmMrz528fJs3T,naina mere,"naina mere,suyyash rai, anmol daniel,,20,35",https://i.scdn.co/image/ab67616d0000b273cce5c2f299061744f22dcb0f
67,04FsFHujpuqonrPXZrEJlK,kya fark padta hai,"kya fark padta hai,dev negi,desi pop, filmi, modern bollywood,20,62",https://i.scdn.co/image/ab6761610000e5eb7f5466d1024a9af1c911ed62
68,7EiUTtmmkwGtbgR6gZaZzW,teri ada,"teri ada,kaushik-guddu, mohit chauhan, saumya upadhyay,,20,33",https://i.scdn.co/image/ab6761610000e5ebfb1f7298037c5401e2fbd9ba
69,5qERXbPWPdUePjrAW00vuU,tu baithe mere samne,"tu baithe mere samne,raj barman, vivek kar,bangla pop, desi pop, modern bollywood,20,52",https://i.scdn.co/image/ab6761610000e5eb580cf6bac4435c7e7a22910f
70,1UAzmnFgjizIDvtHvnCdEq,yaar ki mehfil,"yaar ki mehfil,stebin ben, kunaal vermaa,desi pop, modern bollywood,20,63",https://i.scdn.co/image/ab6761610000e5eb365ac49b19983beffdd7dcff
71,2FPwX3Gh0w4Qr1v3zSTtcT,choti choti galtiyan,"choti choti galtiyan ,papon, gautam gulati, shivaleeka oberoi,desi pop, filmi, indian folk, modern bollywood,20,58",https://i.scdn.co/image/ab6761610000e5eb0dd274246ecf6019bfac1aef
72,3yMmYEklQ7gLOZXEFNd3xr,jeena sikha de,"jeena sikha de,palak muchhal, adah sharma,desi pop, filmi, modern bollywood,20,66",https://i.scdn.co/image/ab6761610000e5eb37d0a183ce70dd31008f5622
73,5X6ShVeOR0RNA0QLpFksuj,tera ho raha hoon,"tera ho raha hoon,saaj bhatt, nikhita gandhi, amjad nadeem aamir, sourav joshi, priya dhapa,,20,55",https://i.scdn.co/image/ab6761610000e5eba90073f8a34d8e775ca4f78e
74,5wQDQFm7Ku8WWGi5xqJ9lp,mujhe meri tarah,"mujhe meri tarah,jyotica tangri, sanket banker,desi pop, filmi, modern bollywood,20,59",https://i.scdn.co/image/ab6761610000e5ebaf94e2b2579d98d4d3b1ab15
75,6RF8hEdlUKoLPQOHmBbHiM,ab talak,"ab talak ,yasser desai,desi pop, filmi, modern bollywood,20,66",https://i.scdn.co/image/ab6761610000e5eb2b7ca321131b0adb237d2fe8
76,6RF8hEdlUKoLPQOHmBbHiM,dil ka gehna,"dil ka gehna,yasser desai, rajat nagpal,desi pop, filmi, modern bollywood,20,66",https://i.scdn.co/image/ab6761610000e5eb2b7ca321131b0adb237d2fe8
77,4ii2wer2TGC01Cx1utlGZx,wajood mera,"wajood mera,ishaan khan, shambhavi thakur,,20,30",https://i.scdn.co/image/ab6761610000e5ebf3ef2a50855bd47de5191d4f
78,5rQoBDKFnd1n6BkdbgVaRL,main chala,"main chala,guru randhawa, iulia vantur, shabbir ahmed, salman khan,desi hip hop, desi pop, modern bollywood,20,66",https://i.scdn.co/image/ab6761610000e5eb609177b911352232113b7fcc
79,3dN9MQpjIyNxyeRfz4EDZe,o aasman wale,"o aasman wale,rochak kohli, jubin nautiyal, amar utpal,desi pop, modern bollywood,20,67",https://i.scdn.co/image/ab6761610000e5ebf5307f741767ab8da198a0b9
80,38IHJBGBuaYXHEkIQd4DtF,tere dard mein,"tere dard mein,altamash faridi,modern bollywood,20,55",https://i.scdn.co/image/ab67616d0000b273755495928e45b0d65b72c353
81,28kGdf2ant8i73Fab2F7xq,sharaab,"state of art,amantej hundal,desi hip hop, desi pop, punjabi pop,20,53",https://i.scdn.co/image/ab6761610000e5eb87f69cbf1d68407805df9e47
82,4F5ZNBJDep3GTrMip2tpI4,maaye ni,"maaye ni,prabh gill,desi hip hop, desi pop, punjabi pop,20,53",https://i.scdn.co/image/ab6761610000e5eb721a6638f83b67acd8407d26
83,5IMKL9U2FzIB9fFn2kILAf,move on,"move on,joban sandhu,punjabi pop,20,30",https://i.scdn.co/image/ab67616d0000b273d8920a4bf52781878eb97b3b
84,56z6Zt5dNIwgD7ajzBwu0A,suit gulabi,"never died,dalvir sidhu,,20,27",https://i.scdn.co/image/ab6761610000e5eb61404b5d11cf1c3b2be2ff2b
85,0qpsFfOT3SmdGmnyV6rOhS,darpok mahiya,"darpok mahiya,meet bros., khushboo grewal,desi pop, filmi, modern bollywood,20,65",https://i.scdn.co/image/ab67616d0000b2739a0cfca9e6c069d1a53b962b
86,66zuqlaTBmoS02ExC4FA4R,akhiyan ni akhiyan,"akhiyan ni akhiyan,jass saini, shipra goyal,,20,26",https://i.scdn.co/image/ab6761610000e5eb40d00e34888752ae61cbbec5
87,2ZzyxohC32i649slMn9Kgk,sajjna ve sajjna,"sajjna ve sajjna,inder chahal, yuvika chaudary,desi pop, punjabi pop,20,55",https://i.scdn.co/image/ab6761610000e5eb84deb854d2c0048503e4a9b8
88,7eYwycsUoAQLxKF1MNEvVa,tun milen,"tun milen,rabbi shergill,filmi, modern bollywood, sufi,20,32",https://i.scdn.co/image/ab6761610000e5eb203cc0f7655c4d7fbada93a0
